full_address,lat,lon
"21-57 80 Street, 11370",40.769284,-73.8895144
"344 Beach 44Th St, 11691",40.5949682,-73.7754451
"338 Beach 46 Street, 11691",40.594672,-73.7769209
"21-29 80Th Street, 11370",40.7700176,-73.8896504
"21-02 81St Street, 11370",40.770698,-73.8892829
"21-53 80 Street, 11370",40.7694259,-73.88955849999999
"1949 80Th St, 11370",40.77194050000001,-73.88998819999999
"19-24 81St Street, 11370",40.7723557,-73.88959899999999
"3-20 Beach 43Rd Street, 11691",40.5944181,-73.7743765
"21-31 80Th St, 11370",40.7699096,-73.88964070000002
"19-41 80 Street, A-1, 11370",40.7722617,-73.8902145
"19-48 81St Street, 11370",40.7717722,-73.8895126
"3-06 Beach 68 Street, 11692",40.5913822,-73.7966867
"462 Beach 47 Street, 11691",40.5971389,-73.7782373
"430 Beach 37 Street, 11691",40.5970405,-73.7696988
"455 Beach 46 Street, 11691",40.5970826,-73.77778599999999
"494 Beach 44Th Street, 11691",40.5983336,-73.7758841
"350 Beach 46Th Street, 11691",40.5949649,-73.7770711
"63-07 Ocean Avenue North, 11692",40.589523,-73.792351
"440 Beach 46 Street, 11691",40.596867,-73.77734
"63-15 Beach Channel Drive, 11692",40.5928429,-73.79290809999999
"408 Beach 46 Street, 11691",40.5957995,-73.77719560000001
"455 Beach 46Th Street, 11691",40.5970826,-73.77778599999999
"616 Beach 66Th Street, 11692",40.59755029999999,-73.7952997
"63-10 Beach Channel Drive, 11692",40.5932769,-73.7928198
"633 Beach 65Th Street, 11692",40.598045,-73.79502409999999
"67-02 Almeda Avenue, 11692",40.5971215,-73.7968017
"5-36 Beach 68 Street, 11692",40.5958258,-73.7971609
"611 Beach 65Th St, 11692",40.5974815,-73.794955
"558 Beach 72Nd Street, 11692",40.5963682,-73.8008092
"64-07 Thursby Avenue, 11692",40.5949171,-73.7937816
"69-16 Almeda Avenue, 11692",40.5970028,-73.7992979
"69-24 Almeda Avenue, 11692",40.5969825,-73.7995911
"418 Beach 66 St, 11692",40.5935308,-73.79494799999999
"7427 Hillmeyer Avenue, 11692",40.5969453,-73.8045331
"72-14 Elizabeth Avenue, 11692",40.5954887,-73.8015305
"3-27 Beach 74 Street, 11692",40.5916298,-73.8025683
"316 Beach 74Th Street, 11692",40.5912938,-73.8021341
"3-09 Beach 74 Street, 11692",40.5911743,-73.8024114
"3-48 Beach 75 Street, 11692",40.5910672,-73.8027718
"74-10 Beach Channel Drive, 11692",40.59092769999999,-73.8026574
"326 Beach 37Th Street, 11691",40.5958125,-73.7693891
"321 Beach 69Th Street, 11692",40.5914693,-73.7982961
"3-19 Beach 74 Street, 11692",40.59137,-73.802549
"328 Beach 70, 11692",40.5915843,-73.79875849999999
"74-02 Beach Channel Drive, 11692",40.59097390000001,-73.802399
"321 Beach 38 Street, 11691",40.5951926,-73.7707325
"323 Beach 38 Street, 11691",40.5952361,-73.7707411
"317 Beach 38 Street, 11691",40.5951143,-73.77076
"338 Beach 42 Street, 11691",40.5951597,-73.77355519999999
"174 Sea Grass Lane, 11692",40.5908181,-73.7919349
"327 Beach 42Nd Street, 11691",40.5947229,-73.774058
"362 Beach 48Th Street, 11693",40.5949324,-73.7787693
"318 Beach 47 Street, 11691",40.5940935,-73.77783509999999
"65-12 Ocean Avenue North, 11692",40.590457,-73.79386699999999
"153 Compass Place, 11692",40.5900487,-73.7917307
"168 Sea Grass Lane, 11692",40.5904191,-73.7919165
"63-11 Ocean Avenue North, 11692",40.5895988,-73.7924951
"65-12 Ocean Avenue South, 11692",40.5897155,-73.7944481
"65-03 Ocean Avenue South, 11692",40.5892788,-73.7943129
"6520 Seaspray Ave, 11692",40.5889136,-73.7945937
"66-16 Beach Front Road, 11692",40.5880761,-73.7953801
"6618 Seaspray Ave, 11692",40.5888289,-73.7954409
"319 Beach 66 Street, 11692",40.5918999,-73.7953
"418 Beach 38 Street, 11691",40.5965987,-73.7704818
"430 Beach 38 Street, 11691",40.5969766,-73.7706536
"412 Beach 38 Street, 11691",40.5964884,-73.77054450000001
"151 Beach 61 Street, 11692",40.5905162,-73.7905545
"414 Beach 46 Street, 11691",40.5960124,-73.7771927
"408 Beach 45 Street, 11691",40.5959774,-73.7763824
"451 Beach 46Th Street, 11691",40.5969687,-73.7777747
"408 Beach 47Th Street, 11691",40.5958362,-73.7780535
"418 Beach 48 Street, 11691",40.5960303,-73.7788764
"6210 Burchell Rd, 11692",40.5968037,-73.79163799999999
"62-23 Burchell Road, 11692",40.5964026,-73.79204519999999
"62-10 Burchell Road, 11692",40.5968037,-73.79163799999999
"62-04 Hillmeyer Road, 11692",40.5982429,-73.790733
"612 Beach 64 Street, 11692",40.5974989,-73.7934612
"65-01 Bayfield Avenue, 11692",40.5989661,-73.79498579999999
"618 Beach 67 Street, 11692",40.5975337,-73.7963699
"62-17 Burchell Road, 11692",40.5964183,-73.79181559999999
"615 Beach 66 Street, 11692",40.5975051,-73.7959118
"611 Beach 67Th Street, 11692",40.5973355,-73.7969063
"611 Beach 66 Street, 11692",40.5973555,-73.79587169999999
"537 Beach 65 Street, 11692",40.5961514,-73.79478259999999
"565 Beach 65Th St, 11692",40.5968901,-73.7948436
"503 Beach 63 Street, 11692",40.5952811,-73.7928884
"621 Beach 68 Street, 11692",40.5976123,-73.7979537
"66-11 Almeda Avenue, 11692",40.5968732,-73.7963585
"66 11 Almeda Avenue, 11692",40.5963441,-73.80137739999999
"65-14 Thursby Avenue, 11692",40.5952363,-73.7949588
"562 Beach 68 Street, 11692",40.596655,-73.7972845
"5-70 Beach 68Th Street, 11692",40.5965447,-73.7978268
"69-41 Bayfield Avenue, 11692",40.5986467,-73.8003719
"63-12 Beach Channel Drive, 11692",40.5932895,-73.7928984
"650 Beach 69Th Street, 11692",40.5983467,-73.7984323
"69-33 Bayfield Avenue, 11692",40.5986638,-73.800077
"69-14 Decosta Ave, 11692",40.5984082,-73.799386
"69-50 De Costa Avenue, 11692",40.5983297,-73.8006721
"653 Beach 69Th Street, 11692",40.5984599,-73.7990562
"69-44 Hillmeyer Avenue, 11692",40.5976643,-73.80034839999999
"6939 Bayfield Avenue, 11692",40.5986511,-73.8002928
"69-25 Hillmeyer Avenue, 11692",40.59731499999999,-73.7996541
"69-57 Hillmeyer Avenue, 11692",40.5972443,-73.80075699999999
"69-40 Hillmeyer Avenue, 11692",40.5976601,-73.8001688
"69-62 De Costa Avenue, 11692",40.5983094,-73.8010542
"69-51 Almeda Avenue, 11692",40.5965789,-73.80053099999999
"69-15 Hillmeyer Avenue, 11692",40.597341,-73.799229
"6935 Almeda Avenue, 11692",40.5966207,-73.8000153
"69-31 Burchell Avenue, 11692",40.595915,-73.799689
"533 Beach 69Th Street, 11692",40.5957942,-73.7987333
"529 Beach 69Th Street, 11692",40.5957229,-73.7987441
"69-29 Burchell Avenue, 11692",40.5959415,-73.7996984
"516 Beach 72 Street, 11692",40.5951735,-73.8005125
"519 Beach 69 Street, 11692",40.5953672,-73.7987137
"69-43 Thursby Avenue, 11692",40.5945444,-73.8000217
"69-26 Thursby Avenue, 11692",40.594952,-73.7994932
"69-38A Thursby Avenue, 11692",40.5949389,-73.799914
"6904 Hessler Avenue, 11692",40.5942999,-73.798534
"69-44 Hessler Avenue, 11692",40.5942136,-73.80005609999999
"69-35 Hessler Avenue, 11692",40.5938998,-73.799683
"74-06 Beach Channel Drive, 11692",40.5909397,-73.80253580000002
"69-20 Beach Channel Drive, 11692",40.5928347,-73.7990741
"427 Beach 69Th Street, 11692",40.5935752,-73.7984965
"72-52 Almeda Avenue, 11692",40.59680549999999,-73.8029932
"7518 Aquatic Drive, 11692",40.5894182,-73.8035859
"242 Beach Breeze Lane, 11692",40.5896684,-73.8035182
"432 Beach 72Nd Street, 11692",40.5936279,-73.80048029999999
"309 Beach 70 Street, 11692",40.591216,-73.7991433
"345 Beach 73 Street, 11692",40.5921799,-73.8017364
"7608 Aquatic Dr, 11692",40.589423,-73.8040888
"76-06 Aquatic Drive, 11692",40.589456,-73.8038475
"7618 Aquatic Drive, 11692",40.5894133,-73.804352
"465 Beach 43Rd Street, 11691",40.5974828,-73.7752498
"182 Schooner Street, 11692",40.5891882,-73.79976789999999
"7009 Catamaran Way, 11692",40.588085,-73.798845
"7201 Catamaran Way, 11692",40.5885363,-73.79987419999999
"560 Beach 66Th Street, 11692",40.5966881,-73.7952882
"535 Beach 66, 11692",40.5961598,-73.7957515
"516 Beach 67 Street, 11692",40.5954212,-73.7960987
"511 Beach 66 St, 11692",40.5953873,-73.79565579999999
"519 Beach 66 Street, 11692",40.5956142,-73.7956961
"435 Beach 66 Street, 11692",40.5939751,-73.795518
"516 Beach 69 Street, 11692",40.595397,-73.79800589999999
"532 Beach 72 Street, 11692",40.5956259,-73.8006928
"108 Beach 62 Street, 67, 11692",40.5890691,-73.7908257
"3-15 Beach 74 Street, 11692",40.5912409,-73.8024669
